t,u
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.242142064844320567e-03
1.000000000000000056e-01,4.875212106562440591e-03
1.500000000000000222e-01,1.062610021189090530e-02
2.000000000000000111e-01,1.806229970514332261e-02
2.500000000000000000e-01,2.662414534183831644e-02
3.000000000000000444e-01,3.566652990581716670e-02
3.500000000000000333e-01,4.450698996878108687e-02
4.000000000000000222e-01,5.247657686148463063e-02
4.500000000000000111e-01,5.896972131665347006e-02
5.000000000000000000e-01,6.348937524717815362e-02
5.500000000000000444e-01,6.568406612907592979e-02
6.000000000000000888e-01,6.537410223125997288e-02
6.500000000000000222e-01,6.256497554720916177e-02
7.000000000000000666e-01,5.744696346930733277e-02
7.500000000000000000e-01,5.038095888714921172e-02
8.000000000000000444e-01,4.187158481942392096e-02
8.500000000000000888e-01,3.252959740290078949e-02
9.000000000000000222e-01,2.302637942614198935e-02
9.500000000000000666e-01,1.404391610584826422e-02
1.000000000000000000e+00,6.223981522575625092e-03
1.050000000000000044e+00,1.203229634761666917e-04
1.100000000000000089e+00,-3.842593022096183440e-03
1.150000000000000133e+00,-5.401198109154728075e-03
1.200000000000000178e+00,-4.472446709920792005e-03
1.250000000000000000e+00,-1.159984862916216969e-03
1.300000000000000044e+00,4.253596270990390830e-03
1.350000000000000089e+00,1.132784492644966015e-02
1.400000000000000133e+00,1.949729977131609004e-02
1.450000000000000178e+00,2.811365898236568850e-02
1.500000000000000000e+00,3.649412438085030547e-02
1.550000000000000044e+00,4.397231740706471215e-02
1.600000000000000089e+00,4.994797202725124313e-02
1.650000000000000133e+00,5.393170082390753850e-02
1.700000000000000178e+00,5.558149772768304631e-02
1.750000000000000000e+00,5.472825673671972285e-02
1.800000000000000044e+00,5.138840463391041585e-02
1.850000000000000089e+00,4.576270613706003021e-02
1.900000000000000133e+00,3.822133051857679736e-02
1.950000000000000178e+00,2.927629269685999916e-02
2.000000000000000000e+00,1.954332281235595173e-02
2.050000000000000266e+00,9.696006221511630288e-03
2.100000000000000089e+00,4.156119459671879664e-04
2.149999999999999911e+00,-7.659651036148669954e-03
2.200000000000000178e+00,-1.398216762596796690e-02
2.250000000000000000e+00,-1.813569777574208439e-02
2.300000000000000266e+00,-1.986636549855959333e-02
2.350000000000000089e+00,-1.910154605150368029e-02
2.400000000000000355e+00,-1.595524360653130524e-02
2.450000000000000178e+00,-1.071955862026308624e-02
2.500000000000000000e+00,-3.842880882528066592e-03
2.550000000000000266e+00,4.103566408967159081e-03
2.600000000000000089e+00,1.246833797403980489e-02
2.650000000000000355e+00,2.056835722736615260e-02
2.700000000000000178e+00,2.773986489639605063e-02
2.750000000000000000e+00,3.338792813275396482e-02
2.800000000000000266e+00,3.703082005977154784e-02
2.850000000000000089e+00,3.833596201746315019e-02
2.900000000000000355e+00,3.714474961870172648e-02
2.950000000000000178e+00,3.348441224669006233e-02
3.000000000000000000e+00,2.756602205272367170e-02
3.050000000000000266e+00,1.976880082441787728e-02
3.100000000000000089e+00,1.061189434737824268e-02
3.150000000000000355e+00,7.157179612789382230e-04
3.200000000000000178e+00,-9.244245704604917707e-03
3.250000000000000000e+00,-1.858775327406100852e-02
3.300000000000000266e+00,-2.668046200067463250e-02
3.350000000000000089e+00,-3.298117008786292936e-02
3.400000000000000355e+00,-3.708211504105898837e-02
3.450000000000000178e+00,-3.873932654252464775e-02
3.500000000000000000e+00,-3.789077159972562003e-02
3.550000000000000266e+00,-3.466093958953528342e-02
3.600000000000000089e+00,-2.935152548784062537e-02
3.650000000000000355e+00,-2.241890570991759285e-02
3.700000000000000178e+00,-1.444008536552155060e-02
3.750000000000000000e+00,-6.069654985879149867e-03
3.800000000000000266e+00,2.009035134551608297e-03
3.850000000000000089e+00,9.134843863669859718e-03
3.900000000000000355e+00,1.471815256405391639e-02
3.950000000000000178e+00,1.828484736695283955e-02
4.000000000000000000e+00,1.951169225976217073e-02
4.049999999999999822e+00,1.825045652251515091e-02
4.100000000000000533e+00,1.453899821473271341e-02
4.150000000000000355e+00,8.598477611349547578e-03
4.200000000000000178e+00,8.169082551518299816e-04
4.250000000000000000e+00,-8.279728416063629817e-03
4.299999999999999822e+00,-1.806665199224181256e-02
4.350000000000000533e+00,-2.786681623021326770e-02
4.400000000000000355e+00,-3.700133820252503314e-02
4.450000000000000178e+00,-4.484006486991236329e-02
4.500000000000000000e+00,-5.084850824850802031e-02
4.549999999999999822e+00,-5.462765099996955837e-02
4.600000000000000533e+00,-5.594365565698405235e-02
4.650000000000000355e+00,-5.474526320272905811e-02
4.700000000000000178e+00,-5.116758426473639459e-02
4.750000000000000000e+00,-4.552200037459233628e-02
4.800000000000000711e+00,-3.827292799491754938e-02
4.850000000000000533e+00,-3.000317716440390955e-02
4.900000000000000355e+00,-2.137048668197896739e-02
4.950000000000000178e+00,-1.305847538463123132e-02
5.000000000000000000e+00,-5.725665255028791929e-03
5.050000000000000711e+00,4.362419419310818247e-05
5.100000000000000533e+00,3.782850283852673932e-03
5.150000000000000355e+00,5.178042561821564853e-03
5.200000000000000178e+00,4.091225827628892919e-03
5.250000000000000000e+00,5.707249995780627836e-04
5.300000000000000711e+00,-5.152416235587283996e-03
5.350000000000000533e+00,-1.268163607652241821e-02
5.400000000000000355e+00,-2.148439257051017875e-02
5.450000000000000178e+00,-3.093183736190217858e-02
5.500000000000000000e+00,-4.034566825646442728e-02
5.550000000000000711e+00,-4.904866857724606011e-02
5.600000000000000533e+00,-5.641516650155195545e-02
5.650000000000000355e+00,-6.191765353204561201e-02
5.700000000000000178e+00,-6.516608752347412270e-02
5.750000000000000000e+00,-6.593695092372277300e-02
5.800000000000000711e+00,-6.418989845600055200e-02
5.850000000000000533e+00,-6.007075345737555860e-02
5.900000000000000355e+00,-5.390062955597908767e-02
5.950000000000000178e+00,-4.615198848070319049e-02
6.000000000000000000e+00,-3.741341847828980743e-02
6.050000000000000711e+00,-2.834575849255222338e-02
6.100000000000000533e+00,-1.963283828116312371e-02
6.150000000000000355e+00,-1.193050593205031984e-02
6.200000000000000178e+00,-5.817741885101779600e-03
6.250000000000000000e+00,-1.753503051974162393e-03
6.300000000000000711e+00,-4.251354812720594783e-05
6.350000000000000533e+00,-8.125517379323792715e-04
6.400000000000000355e+00,-4.004926445062017420e-03
6.450000000000000178e+00,-9.378852159348170098e-03
6.500000000000000000e+00,-1.652939714484854411e-02
6.550000000000000711e+00,-2.491766673207015947e-02
6.600000000000000533e+00,-3.391097215881117705e-02
6.650000000000000355e+00,-4.282999107637181641e-02
6.700000000000000178e+00,-5.099940473153074388e-02
6.750000000000000000e+00,-5.779823770903762953e-02
6.800000000000000711e+00,-6.270614828764592419e-02
6.850000000000000533e+00,-6.534221927269368013e-02
6.900000000000000355e+00,-6.549335812527888601e-02
6.950000000000000178e+00,-6.313018965175991315e-02
7.000000000000000000e+00,-5.840925672647556688e-02
7.050000000000000711e+00,-5.166136501542102633e-02
7.100000000000000533e+00,-4.336694038918222777e-02
7.150000000000000355e+00,-3.412023568855764716e-02
7.200000000000000178e+00,-2.458505459047009845e-02
7.250000000000000000e+00,-1.544529257224287050e-02
7.300000000000000711e+00,-7.353981265971186801e-03
7.350000000000000533e+00,-8.846340401231591634e-04
